M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE
1467905379	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	XFVULMDJZXYMSG	OC1C(O)C(OC1n1c[nH+]c(c1N)C(=O)[O-])COP(=O)([O-])[O-]	C9H12N3O9P--	-2.0
1467905391	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate	AGQJQCFEPUVXNK	Cc1ncc(c(n1)N)COP(=O)(OP(=O)(O)O)O	C6H11N3O7P2	0.0
1467905457	O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate	RUBKAAVMXLSLAZ	OCC1(O)C(C)OC(C1O)OC1C(NC(=N)N)C(O)C(C(C1O)OP(=O)(O)O)NC(=N)N	C14H29N6O11P	0.0
1467905474	L-Mimosine	WZNJWVWKTVETCG	[O-]C(=O)C(Cn1ccc(=O)c(c1)[O-])[NH3+]	C8H9N2O4-	-1.0
1467905525	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	ZMRGXEJKZPRBPJ	OC1C(O)C(OC1n1cnc2c1cc(C)c(c2)C)COP(=O)(O)O	C14H19N2O7P	0.0
1467905638	4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde	FNEGJFDTWWXQES	O=CC=C(C=C(C(=O)[O-])O)CC(C(=O)[O-])[N+]	C9H7NO6-	-1.0
1467905739	6-Hydroxymethyl-7,8-dihydropterin diphosphate	FCQGJGLSOWZZON	Nc1nc2NCC(=Nc2c(=O)[nH]1)COP(=O)(OP(=O)([O-])[O-])[O-]	C7H8N5O8P2---	-3.0
1467905854	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	NAQGHJTUZRHGAC	OC(=O)CC(C(=O)O)NC(=O)c1ncn(c1N)C1OC(C(C1O)O)COP(=O)(O)O	C13H19N4O12P	0.0
1467905923	Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide	OBGQLHXSMIBYLN	O=C(NC(C(OP(=O)(O)O)C)C(=O)O)CCCCCCSSCCS(=O)(=O)O	C13H26NO10PS3	0.0
1467906075	20-OH-Leukotriene B4	PTJFJXLGRSTECQ	OCCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O	C20H32O5	0.0
1467906099	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	IDBZKGQRLBFUFQ	OC1C(O)C(OC1[NH+]1C=C(CCC1O)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O	C21H32N7O15P2+	1.0
1467906224	7,8-Dihydroneopterin	YQIFAMYNGGOTFB	Nc1nc2NCC(=Nc2c(=O)[nH]1)C(C(CO)O)O	C9H13N5O4	0.0
1467906370	7,8-Dihydroneopterin 3'-triphosphate	DGGUVLXVLHAAGT	OC(C(C1=Nc2c(NC1)nc([nH]c2=O)N)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H16N5O13P3	0.0
1467906404	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate	SZKXTJUOKARGIY	OC1C(O)C(OC1N1C=C(CCC1O)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)OP(=O)(O)O)n1cnc2c1ncnc2N)O)O	C21H32N7O18P3	0.0
1467906537	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	BLKFNHOCHNCLII	OC(C(=O)CN=CNc1n(cnc1C(=O)N)C1OC(C(C1O)O)COP(=O)([O-])[O-])C(COP(=O)([O-])[O-])O	C15H21N5O15P2----	-4.0
1467906730	Fructose 1-phosphate(pyranose)	HXRNACQBNUPKDX	OC1COC(C(C1O)O)(O)COP(=O)(O)O	C6H13O9P	0.0
1467906853	Ribulose	ZAQJHHRNXZUBTE	OCC(C(C(=O)CO)O)O	C5H10O5	0.0
1467907105	3-Aminobutanoyl-CoA	CCSDHAPTHIKZLY	O=C(NCCSC(=O)CC([N+])C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)([O-])[O-])O)n1cnc2c1ncnc2N)[O-])[O-])(C)C)O	C25H37N8O17P3S---	-3.0
1467907148	2-Hydroxyethanesulfonate	SUMDYPCJJOFFON	OCCS(=O)(=O)O	C2H6O4S	0.0
1467907163	2-(alpha-Hydroxyethyl)thiamine diphosphate	RRUVJGASJONMDY	Cc1ncc(c(n1)N)C[n+]1c(C)c(sc1C(O)C)CCOP(=O)(OP(=O)(O)O)O	C14H23N4O8P2S+	1.0
1467907204	Imidazole-4-acetaldehyde	MQSRGWNVEZRLDK	C(c1c[nH]cn1)C=O	C5H6N2O	0.0
1467907226	4-Imidazolone-5-acetate	HSZJBFGOEAJYFT	OC(=O)CC1NC=NC1=O	C5H6N2O3	0.0
1467907251	GDP-3,6-dideoxy-D-galactose	GRUFZTGABLSDFG	OC1C(COP(=O)(OP(=O)(OC2OC(C)C(CC2O)O)O)O)OC(C1O)n1cnc2c1nc(N)[nH]c2=O	C16H25N5O14P2	0.0
1467907362	trans-3-Hydroxy-L-proline	BJBUEDPLEOHJGE	OC1CC[N+]C1C(=O)[O-]	C5H7NO3	0.0
1467907537	(S)-N-Methylcoclaurine	BOKVLBSSPUTWLV	COc1cc2CC[N+](C(c2cc1O)Cc1ccc(cc1)O)C	C18H21NO3+	1.0
1467907657	3-Hydroxybenzoyl-CoA	JTBCMZVWWNFUFR	O=C(NCCSC(=O)c1cccc(c1)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H40N7O18P3S	0.0
1467907679	5'-Deoxyadenosine	XGYIMTFOTBMPFP	CC1OC(C(C1O)O)n1cnc2c1ncnc2N	C10H13N5O3	0.0
1467907715	3'-Hydroxy-N-methyl-(S)-coclaurine	DAUPWJBRVZCBQB	COc1cc2CC[NH+](C(c2cc1O)Cc1ccc(c(c1)O)O)C	C18H22NO4+	1.0
1467907896	Hydroxyacetone	XLSMFKSTNGKWQX	CC(=O)CO	C3H6O2	0.0
1467907916	5-Aminoimidazole	QRZMXADUXZADTF	Nc1cnc[nH]1	C3H5N3	0.0
1467908112	Hexanoyl-CoA	OEXFMSFODMQEPE	CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C27H46N7O17P3S	0.0
1467908124	trans-Hex-2-enoyl-CoA	OINXHIBNZUUIMR	CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C27H44N7O17P3S	0.0
1467908137	trans-Hexadec-2-enoyl-CoA	JUPAQFRKPHPXLD	CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C37H64N7O17P3S	0.0
1467908162	Decanoyl-CoA	CNKJPHSEFDPYDB	CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C31H54N7O17P3S	0.0
1467908186	trans-Oct-2-enoyl-CoA	CPSDNAXXKWVYIY	CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C29H48N7O17P3S	0.0
1467908585	Nicotianamine	KRGPXXHMOXVMMM	[NH3+]C(C(=O)[O-])CCNC(C(=O)[O-])CC[NH+]1CCC1C(=O)[O-]	C12H20N3O6-	-1.0
1467908642	Phenethylamine	BHHGXPLMPWCGHP	[N+]CCc1ccccc1	C8H9N+	1.0
1467908701	4-Hydroxyphenylacetyl-CoA	GPCAQTOAAYEBGJ	O=C(NCCSC(=O)Cc1ccc(cc1)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C29H42N7O18P3S	0.0
1467908724	beta-Alanyl-L-arginine	DLRGFJGVZXSSTP	NCCC(=O)NC(C(=O)O)CCCNC(=N)N	C9H19N5O3	0.0
1467908734	beta-Alanyl-L-lysine	PLDCWKCPEXNWJH	NCCCCC(C(=O)O)NC(=O)CCN	C9H19N3O3	0.0
1467908977	Menadione	MJVAVZPDRWSRRC	O=C1C=C(C)C(=O)c2c1cccc2	C11H8O2	0.0
1467909015	Nicotinurate	ZBSGKPYXQINNGF	OC(=O)CNC(=O)c1cccnc1	C8H8N2O3	0.0
1467909038	Sedoheptulose 7-phosphate	JDTUMPKOJBQPKX	OCC(=O)C(C(C(C(COP(=O)(O)O)O)O)O)O	C7H15O10P	0.0
1467909087	3-Keto-beta-D-galactose	APIQNBNBIICCON	OCC1OC(O)C(C(=O)C1O)O	C6H10O6	0.0
1467909155	3-Ketolactose	HKKHTABTHSUDBP	OCC1OC(O)C(C(C1OC1OC(CO)C(C(=O)C1O)O)O)O	C12H20O11	0.0
1467909228	all-trans-Phytoene	YVLPJIGOMTXXLP	CC(=CC=CC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)CCC=C(CCC=C(CCC=C(C)C)C)C	C40H64	0.0
1467909303	Dehydroascorbate	SBJKKFFYIZUCET	OCC(C1OC(=O)C(=O)C1=O)O	C6H6O6	0.0
1467909349	Phytyl diphosphate	ITPLBNCCPZSWEU	CC(CCCC(CCCC(C)C)C)CCCC(=CCOP(=O)(OP(=O)(O)O)O)C	C20H42O7P2	0.0
1467909362	all-trans-zeta-Carotene	BIWLELKAFXRPDE	CC(=CC=CC=C(C=CC=C(CCC=C(CCC=C(C)C)C)C)C)C=CC=C(CCC=C(CCC=C(C)C)C)C	C40H60	0.0
1467909375	all-trans-Neurosporene	ATCICVFRSJQYDV	CC(=CC=CC=C(C=CC=C(C=CC=C(CCC=C(C)C)C)C)C)C=CC=C(CCC=C(CCC=C(C)C)C)C	C40H58	0.0
1467909388	Lycopene	OAIJSZIZWZSQBC	CC(=CC=CC=C(C=CC=C(C=CC=C(CCC=C(C)C)C)C)C)C=CC=C(C=CC=C(CCC=C(C)C)C)C	C40H56	0.0
1467910150	Deoxyinosine	VGONTNSXDCQUGY	OCC1OC(CC1O)n1cnc2c1nc[nH]c2=O	C10H12N4O4	0.0
1467910244	3-Sulfopyruvate	BUTHMSUEBYPMKJ	OC(=O)C(=O)CS(=O)(=O)O	C3H4O6S	0.0
1467910257	Thiosulfate	DHCDFWKWKRSZHF	[S-]S(=O)(=O)O	HO3S2-	-1.0
1467910339	Penicillin G	JGSARLDLIJGVTE	O=C(Cc1ccccc1)NC1C(=O)N2C1SC(C2C(=O)O)(C)C	C16H18N2O4S	0.0
1467910366	Aerobactin	KDHHWXGBNUCREU	ON(C(=O)C)CCCCC(C(=O)O)NC(=O)CC(C(=O)O)(CC(=O)NC(C(=O)O)CCCCN(C(=O)C)O)O	C22H36N4O13	0.0
1467910377	delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine	BYEIJZFKOAXBBV	SCC(C(=O)NC(C(=O)[O-])C(C)C)NC(=O)CCCC(C(=O)[O-])[N+]	C14H21N3O6S-	-1.0
1467910391	Isopenicillin N	MIFYHUACUWQUKT	O=C(NC1C(=O)N2C1SC(C2C(=O)O)(C)C)CCCC(C(=O)O)N	C14H21N3O6S	0.0
1467910450	Ergothioneine	SSISHJJTAXXQAX	[O-]C(=O)C([N+](C)(C)C)Cc1c[nH]c(=S)[nH]1	C9H15N3O2S	0.0
1467910461	Thiourocanic acid	ZBKFFCZXHBPGFK	OC(=O)C=Cc1c[nH]c(=S)[nH]1	C6H6N2O2S	0.0
1467910471	4-Oxoglutaramate	UGKYJAWJZICPEX	OC(=O)CCC(=O)C(=O)N	C5H7NO4	0.0
1467910496	Hercynine	GPPYTCRVKHULJH	[O-]C(=O)C([N+](C)(C)C)Cc1nc[nH]c1	C9H15N3O2	0.0
1467910616	Gentisate aldehyde	CLFRCXCBWIQVRN	O=Cc1cc(O)ccc1O	C7H6O3	0.0
1467910679	3-Hydroxyphenylacetate	FVMDYYGIDFPZAX	OC(=O)Cc1cccc(c1)O	C8H8O3	0.0
1467910702	4-Hydroxyphenylacetylglutamic acid	CYRKYXZJUIBBJX	O=C(NC(C(=O)O)CCC(=O)O)Cc1ccc(cc1)O	C13H15NO6	0.0
1467910762	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole	JDWYRSDDJVCWPB	OC(=O)C1Nc2c(C1)cc(c(c2)O)O	C9H9NO4	0.0
1467910783	Phenyllactate	VOXXWSYKYCBWHO	OC(C(=O)O)Cc1ccccc1	C9H10O3	0.0
1467910797	4-Hydroxycinnamyl aldehyde	CJXMVKYNVIGQBS	O=CC=Cc1ccc(cc1)O	C9H8O2	0.0
1467910810	Sinapoyl aldehyde	CDICDSOGTRCHMG	COc1cc(C=CC=O)cc(c1O)OC	C11H12O4	0.0
1467910899	Quercetin 3-O-glucoside	OVSQVDMCBVZWGM	OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(C(C1O)O)O	C21H20O12	0.0
1467910914	Rutin	IKGXIBQEEMLURG	Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O	C27H30O16	0.0
1467910944	Phenylpropanoate	XMIIGOLPHOKFCH	OC(=O)CCc1ccccc1	C9H10O2	0.0
1467910959	Eriodictyol	SBHXYTNGIZCORC	Oc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)O	C15H12O6	0.0
1467911068	6-Hydroxymelatonin	OMYMRCXOJJZYKE	COc1cc2c(CCNC(=O)C)c[nH]c2cc1O	C13H16N2O3	0.0
1467911130	Dihydropteridine	KVDQMARGGBLIJM	C1CN=c2c(=N1)ncnc2	C6H6N4	0.0
1467911140	Tetrahydropteridine	IDAICLIJTRXNER	C1CNc2c(N1)ncnc2	C6H8N4	0.0
1467911171	Formylanthranilate	LLLPDUXGHXIXIW	O=CNc1ccccc1C(=O)O	C8H7NO3	0.0
1467911194	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	MEACACCQPBWCOO	OC(=O)CCc1c(O)cc([nH]c1=O)C(=O)O	C9H9NO6	0.0
1467911223	Indoxyl	PCKPVGOLPKLUHR	Oc1c[nH]c2c1cccc2	C8H7NO	0.0
1467911235	5-Methoxytryptamine	JTEJPPKMYBDEMY	NCCc1c[nH]c2c1cc(OC)cc2	C11H14N2O	0.0
1467911289	3-Aminopropanal	PCXDJQZLDDHMGX	NCCC=O	C3H7NO	0.0
1467911300	3-Hydroxypropionyl-CoA	BERBFZCUSMQABM	OCCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C24H40N7O18P3S	0.0
1467911343	2-Amino-3-phosphonopropanoate	LBTABPSJONFLPO	OC(=O)C(CP(=O)(O)O)N	C3H8NO5P	0.0
1467911396	(2-Amino-1-hydroxyethyl)phosphonate	RTTXIBKRJFIBBG	[O-]P(=O)(C(C[N+])O)O	C2H5NO4P	0.0
1467911461	Selenite	MCAHWIHFGHIESP	[O-][Se](=O)O	HO3Se-	-1.0
1467911471	Adenylylselenate	XCADVMZZFPIERR	OC1C(COP(=O)(O[Se](=O)(=O)O)O)OC(C1O)n1cnc2c1ncnc2N	C10H14N5O10PSe	0.0
1467911480	scys-L	ZKZBPNGNEQAJSX	[O-]C(=O)C(C[SeH])N	C3H6NO2Se-	-1.0
1467911492	Se-Methyl-L-selenocysteine	XDSSPSLGNGIIHP	[O-]C(=O)C([N+])C[Se]C	C4H6NO2Se	0.0
1467911560	3'-Phosphoadenylylselenate	AZRLZPIFEZUZLW	OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O[Se](=O)(=O)O)O	C10H15N5O13P2Se	0.0
1467911568	Selenate	QYHFIVBSNOWOCQ	[O-][Se](=O)(=O)O	HO4Se-	-1.0
1467911591	L-Selenocystathionine	ZNWYDQPOUQRDLY	[NH3+]C(C(=O)[O-])CC[Se]CC(C(=O)[O-])[NH3+]	C7H14N2O4Se	0.0
1467911611	Methaneselenol	APKHDKJWSHYLEU	C[SeH]	CH4Se	0.0
1467911711	alpha-Aminopropiononitrile	UAMZETBJZRERCQ	CC(C#N)N	C3H6N2	0.0
1467911721	gamma-Amino-gamma-cyanobutanoate	DXWQLTOXWVWMOH	NC(C#N)CCC(=O)O	C5H8N2O2	0.0
1467911733	alpha-Amino-gamma-cyanobutanoate	VZSTVUJXUYNIOQ	NC(C(=O)O)CCC#N	C5H8N2O2	0.0
1467911752	Reduced 2,6-Dichlorophenolindophenol	IFTGQCOAUCEONK	Oc1ccc(cc1)Nc1cc(Cl)c(c(c1)Cl)O	C12H9Cl2NO2	0.0
1467911802	Glutathionylspermidine	NEDQLXHBVHSKNV	NCCCCNCCCNC(=O)CNC(=O)C(NC(=O)CCC(C(=O)O)N)CS	C17H34N6O5S	0.0
1467912042	Uroporphyrinogen I	QTTNOSKSLATGQB	OC(=O)Cc1c2Cc3[nH]c(c(c3CCC(=O)O)CC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1CCC(=O)O)[nH]2)c(CC(=O)O)c4CCC(=O)O)c(c3CCC(=O)O)CC(=O)O	C40H44N4O16	0.0
1467912085	Coproporphyrin III	JWFCYWSMNRLXLX	OC(=O)CCC1=C(C)C2=NC1=Cc1[nH]c(c(c1C)CCC(=O)O)C=C1N=C(C=c3[nH]c(=C2)c(CCC(=O)O)c3C)C(=C1CCC(=O)O)C	C36H38N4O8	0.0
1467912116	Cobyrinate	ZRAQEEAQQLYOBK	OC(=O)CCC1C2=C(C)C3=NC(=CC4=NC(=C(C5=NC(C(C1(C)CC(=O)O)(N2[Co+])C)C(CC(=O)O)C5(C)CCC(=O)O)C)C(C4(C)C)CCC(=O)O)C(C3(C)CC(=O)O)CCC(=O)O	C45H59CoN4O14+	1.0
1467912137	alpha-Ribazole	HLRUKOJSWOKCPP	OCC1OC(C(C1O)O)n1cnc2c1cc(C)c(c2)C	C14H18N2O4	0.0
1467912239	Bilirubin beta-diglucuronide	SCJLWMXOOYZBTH	C=CC1=C(C)C(=Cc2[nH]c(c(c2C)CCC(=O)OC2OC(C(=O)O)C(C(C2O)O)O)Cc2[nH]c(c(c2CCC(=O)OC2OC(C(=O)O)C(C(C2O)O)O)C)C=C2NC(=O)C(=C2C=C)C)NC1=O	C45H52N4O18	0.0
1467912445	2-Octaprenylphenol	VUNQJPPPTJIREN	CC(=CCCC(=CCCC(=CCCC(=CCc1ccccc1O)C)C)C)CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C	C46H70O	0.0
1467912457	2-Octaprenyl-6-hydroxyphenol	YNPGYMZVNLIZLD	CC(=CCCC(=CCCC(=CCCC(=CCc1cccc(c1O)O)C)C)C)CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C	C46H70O2	0.0
1467912468	2-Octaprenyl-6-methoxyphenol	MARGKPIMNMASKJ	COc1cccc(c1O)CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C	C47H72O2	0.0
1467912508	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	QJYRAJSESKVEAE	OC(=O)CCC(=O)C1=CC=CC(C1C(=O)O)O	C11H12O6	0.0
1467912538	(L-Seryl)adenylate	UVSYURUCZPPUQD	OCC(C(=O)OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)[O-])[N+]	C13H16N6O9P	0.0
1467912548	Enterochelin	SERBHKJMVBATSJ	O=C(c1cccc(c1O)O)NC1COC(=O)C(COC(=O)C(COC1=O)NC(=O)c1cccc(c1O)O)NC(=O)c1cccc(c1O)O	C30H27N3O15	0.0
1467912563	3'-CMP	UOOOPKANIPLQPU	OCC1OC(C(C1OP(=O)(O)O)O)n1ccc(nc1=O)N	C9H14N3O8P	0.0
1467912586	S-Sulfo-L-cysteine	NOKPBJYHPHHWAN	[O-]C(=O)C(CSS(=O)(=O)[O-])[N+]	C3H3NO5S2-	-1.0
1467912737	Iminoaspartate	NMUOATVLLQEYHI	OC(=O)CC(=N)C(=O)O	C4H5NO4	0.0
1467912751	Nicotinate D-ribonucleoside	PUEDDPCUCPRQNY	OCC1OC(C(C1O)O)[n+]1cccc(c1)C(=O)O	C11H14NO6+	1.0
1467912880	2-Hydroxyphenylacetate	CCVYRRGZDBSHFU	OC(=O)Cc1ccccc1O	C8H8O3	0.0
1467913103	Pelargonidin	ATIWCJACRQLPCZ	Oc1ccc(cc1)c1[o+]c2cc(O)cc(c2cc1O)O	C15H11O5+	1.0
1467913119	Cyanidin	JHIVGRFLVWGSMI	Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O	C15H11O6+	1.0
1467913138	Leucocyanidin	SBZWTSHAFILOTE	Oc1cc2OC(c3ccc(c(c3)O)O)C(C(c2c(c1)O)O)O	C15H14O7	0.0
1467913173	Delphinidin	KSTLHIFHRSYIRF	Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1cc(O)c(c(c1)O)O	C15H11O7+	1.0
1467913196	Leucodelphinidin	ZEACOKJOQLAYTD	Oc1cc2OC(c3cc(O)c(c(c3)O)O)C(C(c2c(c1)O)O)O	C15H14O8	0.0
1467913312	Biotinyl-5'-AMP	UTQCSTJVMLODHM	O=C1NC2C(N1)C(SC2)CCCCC(=O)OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O	C20H28N7O9PS	0.0
1467913342	Molybdopterin	HPEUEJRPDGMIMY	[S-]C1=C(S)C2C(OC1COP(=O)([O-])[O-])Nc1c(N2)c(=O)[nH]c(n1)N	C10H11N5O6PS2---	-3.0
1467913356	Dihydroneopterin phosphate	PLSQMGZYOGSOCE	OC(C1=Nc2c(NC1)nc([nH]c2=O)N)C(COP(=O)(O)O)O	C9H14N5O7P	0.0
1467913367	Neopterin	BMQYVXCPAOLZOK	OCC(C(c1cnc2c(n1)c(=O)[nH]c(n2)N)O)O	C9H11N5O4	0.0
1467913386	7,8-Dihydromethanopterin	WTMBWYHMZCVPRJ	OC(=O)CCC(C(=O)O)OP(=O)(OCC1OC(C(C1O)O)OCC(C(C(Cc1ccc(cc1)NC(C1=Nc2c(NC1C)nc([nH]c2=O)N)C)O)O)O)O	C30H43N6O16P	0.0
1467913415	N-Succinyl-L-glutamate	JCNBNOQGFSXOML	OC(=O)CCC(=O)NC(C(=O)O)CCC(=O)O	C9H13NO7	0.0
1467913426	N-Succinyl-L-glutamate 5-semialdehyde	XTOKIEIBKARFSZ	O=CCCC(C(=O)O)NC(=O)CCC(=O)O	C9H13NO6	0.0
1467913437	N(omega)-Hydroxyarginine	FQWRAVYMZULPNK	ONC(=[NH2+])NCCCC(C(=O)[O-])[NH3+]	C6H15N4O3+	1.0
1467913450	N4-Acetylaminobutanal	DDSLGZOYEPKPSJ	O=CCCCNC(=O)C	C6H11NO2	0.0
1467913471	Linatine	KWWHDNLMGLRNRN	O=C(NN1CCCC1C(=O)O)CCC(C(=O)O)N	C10H17N3O5	0.0
1467913598	20-COOH-Leukotriene B4	SXWGPVJGNOLNHT	OC(=O)CCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O	C20H30O6	0.0
1467913685	Prostaglandin G2	SGUKUZOVHSFKPH	CCCCCC(C=CC1C2OOC(C1CC=CCCCC(=O)O)C2)OO	C20H32O6	0.0
1467913815	12(S)-HPETE	ZIOZYRSDNLNNNJ	CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)OO	C20H32O4	0.0
1467913883	Propane-1-ol	BDERNNFJNOPAEC	CCCO	C3H8O	0.0
1467913988	3-Oxopropionyl-CoA	NMEYBPUHJHMRHU	O=CCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C24H38N7O18P3S	0.0
1467914015	Acetyl adenylate	UBPVOHPZRZIJHM	CC(=O)OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O	C12H16N5O8P	0.0
1467914186	dTDP-4-acetamido-4,6-dideoxy-D-glucose	YHXQWYBLXUELDA	CC(=O)NC1C(C)OC(C(C1O)O)OP(=O)(OP(=O)(OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O)O)O	C18H29N3O15P2	0.0
1467914198	D-arabino-Hex-3-ulose 6-phosphate	UZYFNQCWJLIAKE	OCC(C(=O)C(C(COP(=O)(O)O)O)O)O	C6H13O9P	0.0
1467914300	2-Methylfumaryl-CoA	LVBVWNJPMXCQJE	O=C(NCCSC(=O)C(=CC(=O)O)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C26H40N7O19P3S	0.0
1467914313	L-threo-3-Methylmalate	NPYQJIHHTGFBLN	OC(=O)C(C(C(=O)O)C)O	C5H8O5	0.0
1467914323	Methyloxaloacetate	CXJNNMFPXAHDPF	OC(=O)C(=O)C(C(=O)O)C	C5H6O5	0.0
1467914544	2-Oxo-3-hydroxy-4-phosphobutanoate	MZJFVXDTNBHTKZ	OC(C(=O)C(=O)O)COP(=O)(O)O	C4H7O8P	0.0
1467914556	O-Phospho-4-hydroxy-L-threonine	FKHAKIJOKDGEII	OC(C(C(=O)O)N)COP(=O)(O)O	C4H10NO7P	0.0
1467914569	4-Hydroxy-L-threonine	JBNUARFQOCGDRK	OCC(C(C(=O)[O-])[NH3+])O	C4H9NO4	0.0
1467914582	3-Aminopropane-1,2-diol	KQIGMPWTAHJUMN	NCC(CO)O	C3H9NO2	0.0
1467915162	Hexadecenal	KLJFYXOVGVXZKT	CCCCCCCCCCCCCC=CC=O	C16H30O	0.0
1467915175	Sphingosine 1-phosphate	DUYSYHSSBDVJSM	CCCCCCCCCCCCCC=CC(C(COP(=O)([O-])[O-])[N+])O	C18H34NO5P-	-1.0
1467915328	1-Butanol	LRHPLDYGYMQRHN	CCCCO	C4H10O	0.0
1467915673	Anabasine	MTXSIJUGVMTTMU	C1CCC(NC1)c1cccnc1	C10H14N2	0.0
1467915685	Piperideine	DWKUKQRKVCMOLP	C1CCC=NC1	C5H9N	0.0
1467915696	Pelletierine	JEIZLWNUBXHADF	CC(=O)CC1CCCCN1	C8H15NO	0.0
1467915745	Arbutin	BJRNKVDFDLYUGJ	OCC1OC(Oc2ccc(cc2)O)C(C(C1O)O)O	C12H16O7	0.0
1467915760	Arbutin 6-phosphate	FBHYCDOVYMVLEN	OC1C(OC(C(C1O)O)COP(=O)(O)O)Oc1ccc(cc1)O	C12H17O10P	0.0
1467915806	Guanosine 3'-phosphate	ZDPUTNZENXVHJC	OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1nc(N)[nH]c2=O	C10H14N5O8P	0.0
